repo_name,stage_name,stage_duration_sec,stage_duration_min,success,flags
generalization-refusal-f96b-codex,experiment_runner,23940.998023,399.01663371666666,True,very_long_gt_4h
align-failures-taxonomy-db56-claude,resource_finder,87805.378487,1463.4229747833333,True,very_long_gt_4h|extreme_gt_12h
llm-forecasting-cd55-claude,resource_finder,80194.488489,1336.5748081499999,True,very_long_gt_4h|extreme_gt_12h
llm-reading-modes-c01e-claude,experiment_runner,18425.762814,307.09604690000003,True,very_long_gt_4h
ai-driven-invention-4088-claude,resource_finder,59331.225571,988.8537595166667,True,very_long_gt_4h|extreme_gt_12h
synthetic_data_with_base_model_20260720_181704_b08e72e8,resource_finder,26638.239361,443.9706560166667,True,very_long_gt_4h
what_kind_of_tools_do_llms_thi_20260720_181157_f89eda47,resource_finder,40191.785659,669.8630943166667,True,very_long_gt_4h
scaling_analysis_of_distribute_20260729_000241_d3c51cab,resource_finder,3.507495,0.05845825,False,very_short_lt_10s
adversarial_prompt_injection_v_20260729_000827_3a2a967e,resource_finder,2.578039,0.042967316666666665,False,very_short_lt_10s
emergent_collective_intelligen_20260729_001254_501032ff,resource_finder,3.000449,0.05000748333333334,False,very_short_lt_10s
systematic_bias_in_llm_chain_o_20260729_160340_206cc029,resource_finder,5.221349,0.08702248333333333,False,very_short_lt_10s
systematic_bias_in_llm_uncerta_20260729_161235_2f048b69,resource_finder,6.471232,0.10785386666666666,False,very_short_lt_10s
multi_agent_adversarial_prompt_20260729_161608_d239e51e,resource_finder,5.218234,0.08697056666666667,False,very_short_lt_10s
systematic_stress_testing_of___20260730_161741_765e263a,resource_finder,6.521533,0.10869221666666666,False,very_short_lt_10s
reverse-stress-testing-for-detecting-f225,resource_finder,0.021569,0.00035948333333333333,False,very_short_lt_10s
null-results-as-alignment-signals-858f,experiment_runner,0.037562,0.0006260333333333333,False,very_short_lt_10s
dialing-up-misalignment-systematic-c2b3,resource_finder,0.463452,0.0077242,False,very_short_lt_10s
when-should-an-ai-ask-for-clarification-f275-claude,resource_finder,22391.789526,373.1964921,True,very_long_gt_4h
